,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
237,8,1500,softplus,0.25,adamax,-0.24607791784264266
38,2,1500,selu,0.25,rmsprop,-0.24661106793786744
29,2,1500,selu,0.15,adamax,-0.24662609105579558
260,16,1500,selu,0.05,adam,-0.24767760208554584
245,16,1500,relu,0.1,adamax,-0.2492016337838253
66,2,1500,softplus,0.1,rmsprop,-0.24946384175479025
15,2,1500,relu,0.2,sgd,-0.24986877351104153
22,2,1500,selu,0.05,rmsprop,-0.25143493466560374
131,4,1500,elu,0.15,sgd,-0.2516105745590643
64,2,1500,softplus,0.1,adam,-0.25166989656772915
106,4,1500,selu,0.1,rmsprop,-0.25234516203042445
127,4,1500,elu,0.1,sgd,-0.2523912442135282
139,4,1500,elu,0.25,sgd,-0.2524772553144641
155,4,1500,softplus,0.2,sgd,-0.25253998545073725
151,4,1500,softplus,0.15,sgd,-0.25286110089954816
33,2,1500,selu,0.2,adamax,-0.25357906582303896
40,2,1500,elu,0.05,adam,-0.2537351713051412
95,4,1500,relu,0.2,sgd,-0.2545783808563773
307,16,1500,softplus,0.1,sgd,-0.2547508221696069
184,8,1500,selu,0.1,adam,-0.25479416237003133
188,8,1500,selu,0.15,adam,-0.2550119438700701
399,32,1500,softplus,0.25,sgd,-0.255199732766124
91,4,1500,relu,0.15,sgd,-0.25526440599076483
333,32,1500,relu,0.2,adamax,-0.2552752154690299
88,4,1500,relu,0.15,adam,-0.255333975584074
395,32,1500,softplus,0.2,sgd,-0.2556889880058668
2,2,1500,relu,0.05,rmsprop,-0.2561086203021937
215,8,1500,elu,0.2,sgd,-0.25653778278615136
219,8,1500,elu,0.25,sgd,-0.25659753291991017
391,32,1500,softplus,0.15,sgd,-0.2567074266459404
83,4,1500,relu,0.05,sgd,-0.2569252963037534
239,8,1500,softplus,0.25,sgd,-0.25751905020036203
211,8,1500,elu,0.15,sgd,-0.25781152538383206
87,4,1500,relu,0.1,sgd,-0.25799261617688607
67,2,1500,softplus,0.1,sgd,-0.2584268122202273
207,8,1500,elu,0.1,sgd,-0.25842919156723937
303,16,1500,softplus,0.05,sgd,-0.25849691322900903
299,16,1500,elu,0.25,sgd,-0.25865712872891167
235,8,1500,softplus,0.2,sgd,-0.2586608471375612
379,32,1500,elu,0.25,sgd,-0.2586768127166573
30,2,1500,selu,0.15,rmsprop,-0.2588146489624801
283,16,1500,elu,0.05,sgd,-0.25884676593115974
147,4,1500,softplus,0.1,sgd,-0.2588958913342233
175,8,1500,relu,0.2,sgd,-0.25892533224146363
371,32,1500,elu,0.15,sgd,-0.2589610177204891
227,8,1500,softplus,0.1,sgd,-0.25896304543448645
287,16,1500,elu,0.1,sgd,-0.25900838477643306
243,16,1500,relu,0.05,sgd,-0.25902880401699435
223,8,1500,softplus,0.05,sgd,-0.2592325567129427
99,4,1500,relu,0.25,sgd,-0.25942922965493065
179,8,1500,relu,0.25,sgd,-0.25943505766156233
163,8,1500,relu,0.05,sgd,-0.2594536307002747
