batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
8,1500,selu,0.1,rmsprop,-0.3073651387735883
8,1500,elu,0.05,adam,-0.3097578077877287
8,1500,softplus,0.15,adam,-0.31006712539046016
8,1500,softplus,0.05,adam,-0.3103268994562467
4,1500,elu,0.15,rmsprop,-0.31699840992277306
8,1500,selu,0.2,rmsprop,-0.31831586954488506
2,1500,selu,0.15,adamax,-0.3205231228142662
32,1500,selu,0.2,rmsprop,-0.32090363617831535
16,1500,relu,0.2,adamax,-0.3216565814114136
32,1500,relu,0.15,adamax,-0.32387444976200996
32,1500,selu,0.05,adam,-0.325319784592394
4,1500,selu,0.1,rmsprop,-0.32560833111017656
8,1500,relu,0.1,adamax,-0.32585229848838915
16,1500,elu,0.1,adam,-0.32607704603207494
16,1500,elu,0.05,adam,-0.33049012930118427
16,1500,selu,0.25,adam,-0.331000376425829
32,1500,selu,0.2,adam,-0.334914033914401
16,1500,relu,0.25,adam,-0.33981996756742794
32,1500,selu,0.15,rmsprop,-0.34059495671162443
32,1500,relu,0.15,adam,-0.34493357272196556
4,1500,selu,0.1,adamax,-0.3470345332113586
16,1500,elu,0.25,adam,-0.35767615811768644
32,1500,relu,0.1,adam,-0.36417090348256
16,1500,selu,0.15,adam,-0.3663224284682931
32,1500,selu,0.15,adam,-0.3682764677342971
4,1500,selu,0.25,adamax,-0.368390265410405
16,1500,selu,0.25,rmsprop,-0.3684378302817958
16,1500,selu,0.2,adam,-0.36953505881989374
16,1500,relu,0.15,adamax,-0.37624787863884274
4,1500,selu,0.2,adamax,-0.37632313912523774
32,1500,relu,0.1,rmsprop,-0.387991411037582
2,1500,selu,0.25,adamax,-0.39251427981151876
2,1500,selu,0.05,adamax,-0.3935638594067471
16,1500,selu,0.15,rmsprop,-0.39939130258493083
16,1500,selu,0.2,rmsprop,-0.40044691412165856
16,1500,relu,0.05,adamax,-0.4010284454561543
16,1500,selu,0.1,rmsprop,-0.40381012759409257
32,1500,selu,0.25,adam,-0.40841828204480357
2,1500,softplus,0.2,adam,-0.4107820731667627
4,1500,selu,0.15,adamax,-0.4130296268568271
2,1500,selu,0.1,adamax,-0.41692209167447697
16,1500,selu,0.1,adam,-0.4182733503396767
16,1500,relu,0.1,adamax,-0.42782086780557604
16,1500,relu,0.2,adam,-0.44172569674279505
4,1500,selu,0.05,adamax,-0.44227383858559843
16,1500,selu,0.05,rmsprop,-0.44878578576113215
16,1500,elu,0.15,adam,-0.45835678583106076
16,1500,selu,0.05,adam,-0.4737592269825602
4,1500,relu,0.05,adamax,-0.4953625700317417
32,1500,relu,0.05,adam,-0.5003855717720054
8,1500,relu,0.05,adamax,-0.5029239000671761
32,1500,relu,0.2,adam,-0.5119431549866471
16,1500,relu,0.05,adam,-0.612411496231431
