batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
4,1500,relu,0.1,adamax,-0.27967745646246595
8,1500,selu,0.2,adam,-0.2803348591603773
8,1500,selu,0.25,adam,-0.28136025841369683
4,1500,selu,0.1,rmsprop,-0.2814667150080025
8,1500,elu,0.2,rmsprop,-0.28229672263926714
2,1500,softplus,0.1,adam,-0.2835186729373993
2,1500,selu,0.05,adam,-0.28362308831272703
32,1500,selu,0.1,adam,-0.2851533115439794
16,1500,elu,0.25,adam,-0.28536546399054913
32,1500,selu,0.2,rmsprop,-0.28576310495336554
8,1500,elu,0.25,rmsprop,-0.28649144585743447
2,1500,relu,0.05,rmsprop,-0.2871220961506953
8,1500,selu,0.1,adam,-0.28712754089240566
8,1500,elu,0.15,rmsprop,-0.2895426318582931
2,1500,elu,0.05,adamax,-0.29019764220001576
16,1500,elu,0.2,adam,-0.29203115640278987
8,1500,elu,0.15,adam,-0.2931385255532354
4,1500,selu,0.15,adam,-0.2942411722748215
32,1500,relu,0.25,adam,-0.29634627327896884
16,1500,elu,0.15,adam,-0.2969836387919532
8,1500,elu,0.1,adam,-0.2970089504720962
2,1500,elu,0.15,adamax,-0.2977731051153525
8,1500,elu,0.05,adam,-0.2980666412760309
8,1500,relu,0.25,adam,-0.3004798729735324
32,1500,selu,0.15,rmsprop,-0.3013117046400122
8,1500,selu,0.25,rmsprop,-0.3013928698876307
8,1500,selu,0.05,rmsprop,-0.3019133829573387
16,1500,relu,0.05,rmsprop,-0.3042092542314999
32,1500,selu,0.15,adam,-0.30488693373684644
8,1500,selu,0.1,adamax,-0.3051442854987315
8,1500,relu,0.15,adamax,-0.30604093207541716
32,1500,selu,0.25,adam,-0.30612588453097433
16,1500,relu,0.15,adam,-0.309005730035996
8,1500,relu,0.05,adamax,-0.3097163229292134
16,1500,relu,0.2,rmsprop,-0.31005903957746944
4,1500,selu,0.2,adamax,-0.3105630785450498
32,1500,relu,0.1,adam,-0.3133032630500191
32,1500,selu,0.05,adam,-0.3142315156393841
16,1500,relu,0.25,adamax,-0.31836369494640543
4,1500,selu,0.2,rmsprop,-0.3188224339947759
16,1500,relu,0.1,adam,-0.32189656021831636
32,1500,relu,0.1,adamax,-0.322084759876118
8,1500,selu,0.1,rmsprop,-0.32210274944952966
8,1500,selu,0.15,adam,-0.32243406073327463
2,1500,selu,0.25,adamax,-0.327687216801198
4,1500,relu,0.05,adamax,-0.3292224119690932
32,1500,selu,0.1,rmsprop,-0.32938478670018567
16,1500,selu,0.15,adam,-0.32957740464396457
16,1500,elu,0.1,adam,-0.33303427455012097
16,1500,relu,0.1,adamax,-0.33652466545762055
2,1500,selu,0.05,adamax,-0.33736042933809834
16,1500,relu,0.25,adam,-0.3395018601558214
16,1500,selu,0.2,adam,-0.349404531242651
8,1500,selu,0.2,rmsprop,-0.34971786359131196
32,1500,relu,0.25,adamax,-0.3525072449092369
8,1500,relu,0.1,adamax,-0.3532006645699385
8,1500,relu,0.15,adam,-0.3544185992094915
8,1500,elu,0.05,rmsprop,-0.35578606412464586
4,1500,selu,0.1,adamax,-0.3581152615496222
16,1500,selu,0.15,rmsprop,-0.3660402766112314
2,1500,selu,0.2,adamax,-0.3685994286994693
4,1500,selu,0.05,adamax,-0.3744041667093332
16,1500,selu,0.25,rmsprop,-0.3749669911836345
16,1500,selu,0.1,adam,-0.376799534770457
32,1500,relu,0.2,adam,-0.3905583649017127
2,1500,selu,0.1,adamax,-0.39832745067597886
16,1500,selu,0.05,adam,-0.4053622125854964
32,1500,relu,0.05,adam,-0.4055445592456369
32,1500,selu,0.2,adam,-0.41023327955703515
32,1500,relu,0.05,rmsprop,-0.42022934475681195
16,1500,selu,0.05,rmsprop,-0.4204344468015507
16,1500,softplus,0.15,adam,-0.4228463649016442
16,1500,selu,0.1,rmsprop,-0.425456014933984
4,1500,selu,0.15,adamax,-0.42791682196238745
16,1500,selu,0.2,rmsprop,-0.4320352468012941
16,1500,selu,0.25,adam,-0.44020065007184206
16,1500,relu,0.05,adamax,-0.4481611629163868
4,1500,softplus,0.15,adam,-0.45406334426773576
8,1500,softplus,0.25,adam,-0.46048384061444736
32,1500,relu,0.05,adamax,-0.5014663047278161
16,1500,elu,0.05,adam,-0.6200296401854257
